Price,Make,Model,Prod. year,Category,Gear box type,Drive wheels,UHighway
11917,HONDA,Step Wagon,2005,Minivan,Automatic,4x4,35
11290,HYUNDAI,Santa FE,2018,Minivan,Automatic,4x4,35
11133,MERCEDES-BENZ,E 350,2011,Sedan,Automatic,Front,47
53031,NISSAN,X-Trail,2005,Jeep,Automatic,Front,47
15994,OPEL,Astra H,2009,Coupe,Automatic,Rear,32
28225,OPEL,Combo,2008,Sedan,Automatic,Rear,32
11917,TOYOTA,Camry,2013,Jeep,Automatic,4x4,41
11500,DODGE,Caliber,2010,Jeep,Automatic,4x4,41
10976,FIAT,500,2015,Coupe,Manual,Front,43
11917,FORD,Escape,2011,Goods wagon,Manual,Front,43
10976,FORD,Focus,2015,Sedan,Manual,Front,36
103491,FORD,Transit Connect,2009,Goods wagon,Manual,Front,36
32302,FORD,Transit Connect,2012,Sedan,Automatic,Front,36
23521,FORD,Transit,1995,Sedan,Automatic,Front,36
13799,FORD,Transit,1996,Universal,Automatic,Front,39
14113,FORD,Transit,1997,Hatchback,Automatic,Front,32.0513
16621,FORD,Transit,1998,Jeep,Automatic,4x4,36
13172,FORD,Transit,1999,Hatchback,Automatic,Front,31
10500,FORD,Transit,2000,Goods wagon,Manual,Front,33.3333
15681,FORD,Transit,2001,Goods wagon,Manual,Front,28
10349,FORD,Transit,2002,Microbus,Manual,Rear,28
23521,FORD,Transit,2004,Microbus,Manual,Rear,23
10976,FORD,Transit,2005,Microbus,Manual,Rear,39.7436
10976,FORD,Transit,2007,Microbus,Manual,Front,33
10976,FORD,Transit,2008,Universal,Manual,Rear,23
12544,FORD,Transit,2011,Microbus,Manual,Rear,37
14113,HONDA,Elysion,2011,Goods wagon,Manual,Rear,35
12800,HONDA,Insight,2010,Microbus,Manual,Front,38
15053,HYUNDAI,Elantra,2014,Microbus,Manual,Rear,35
20000,HYUNDAI,Veloster,2013,Microbus,Manual,Rear,32
15681,MERCEDES-BENZ,S 550,2016,Goods wagon,Manual,Front,32
16621,MERCEDES-BENZ,Sprinter,2001,Microbus,Manual,Rear,32
15681,MERCEDES-BENZ,Sprinter,2002,Microbus,Manual,Rear,32
15991,MERCEDES-BENZ,Sprinter,2004,Microbus,Manual,Front,37
15681,MERCEDES-BENZ,Sprinter,2005,Microbus,Manual,Rear,35
16308,MERCEDES-BENZ,Sprinter,2006,Microbus,Manual,Front,38
17876,MERCEDES-BENZ,Sprinter,2008,Microbus,Manual,Rear,33
25716,MERCEDES-BENZ,Vito,2005,Goods wagon,Manual,Rear,34
15681,MERCEDES-BENZ,Vito,2008,Minivan,Automatic,Front,33.3333
13799,TOYOTA,Land Cruiser,2008,Hatchback,Automatic,Front,26
25591,TOYOTA,Prius C,2014,Sedan,Automatic,Front,26
11917,TOYOTA,Prius,2007,Coupe,Automatic,Front,32
72758,TOYOTA,RAV 4,2001,Coupe,Automatic,4x4,33
19444,BMW,330,2001,Microbus,Manual,Rear,15
14113,CHEVROLET,Cruze,2015,Microbus,Manual,Rear,34
26657,FORD,Escape,2007,Microbus,Manual,Rear,36
20385,FORD,Transit,2003,Microbus,Manual,Rear,33.3333
21953,HONDA,Civic,2008,Microbus,Manual,Rear,34
45473,HYUNDAI,Accent,2015,Microbus,Manual,Rear,36
12544,HYUNDAI,Elantra,2015,Minivan,Manual,Rear,41
